	title	category
0	'Mais 3 cm e eu não estaria vivo', diz cinegrafista atacado por cão em ato	nation
1	Crônica da campanha: Major Olímpio foi o único nanico convidado a debates; veja mais candidatos	nation
2	Aécio diz ver motivo 'extremamente forte' para impeachment de Dilma	nation
3	Disputado, aceno de Alckmin a pré-candidato João Doria racha PSDB	nation
4	Erramos: CGU prorroga prazos, e empreiteiras ganham tempo para fechar acordos	nation
5	Verba da Câmara abasteceu frota de carros de luxo de Eduardo Cunha	nation
6	Agentes encontram túnel em direção a presídio na Baixada Fluminense	nation
7	Mortes: Um jornalista que amava rock e o Palmeiras	nation
8	Acidente deixa três mortos no Rio Grande do Sul	nation
9	Homem é morto ao tentar roubar relógio de empresário nos Jardins	nation
10	Ainda tenho medo pelo futuro dele, diz mãe de bebê com microcefalia	nation
11	Associações condenam decisão que determina retirada de notícia da Folha	nation
12	Após protestos, Dilma recebe OAB para tratar de medidas anticorrupção	nation
13	Dias Toffoli sugere que advogados do TSE não possam exercer profissão	nation
14	Polícia do Rio abandonou favela e abriu espaço para criminosos	nation
15	Doria manda para Câmara projeto para privatizar SPTuris e Anhembi	nation
16	STF encontrará 'equilíbrio' ao julgar direito ao esquecimento, diz Cármen	nation
17	Política ofusca a crise fiscal, o maior dos problemas do Brasil	nation
18	Líder do governo na Câmara diz que é forçar a barra proposta da maioridade	nation
19	Concurso para estagiário de Moro tem quase 300 inscritos	nation
20	Moradores não conseguem remover carros atingidos por ressaca em Santos	nation
21	Após defecções na frente pró-impeachment, Temer decide voltar a Brasília	nation
22	Moradores do Alemão se reúnem com parlamentares sobre abuso da PM	nation
23	Delcídio do Amaral é transferido para unidade da PM em Brasília	nation
24	Estradas litorâneas têm lentidão na volta a SP; Anchieta tem 9 km de filas	nation
25	Fundador do PSDB acusa Alckmin de usar máquina para favorecer Doria	nation
26	STF determina início do cumprimento de pena do ex-juiz Rocha Mattos	nation
27	Gestão Haddad vai atrasar para abril entrega do projeto de Lei Zoneamento	nation
28	Protestos contra governo Dilma ocorrem em todos os Estados e no DF	nation
29	Falar em shopping na Câmara é 'palhaçada', diz Eduardo Cunha	nation
30	Vários Prismas, Infinitos Lados: Eu Te Amo	nation
31	Bactéria fecha pronto-socorro de hospital em Guarulhos (SP)	nation
32	Dilma Rousseff se diz 'indignada' e ataca Cunha; leia pronunciamento	nation
33	Cerca de 2% dos enfermeiros recebem menos de um salário mínimo	nation
34	Após queixas, MEC prorroga simulado do Enem até as 20h deste domingo	nation
35	Policial é baleado na cabeça em Carapicuíba, na Grande São Paulo	nation
36	A corrupção venceu a verdade, diz irmão de Cid Gomes	nation
37	Planalto teme protestos maiores após apresentação de reformas	nation
38	Moradores dos Jardins fazem ofensiva para impedir comércios na região	nation
39	PHS pede ao STF afastamento de Maranhão da presidência da Câmara	nation
40	Deputados da CPI receberam doações de empreiteiras	nation
41	Justiça adia julgamento sobre terreno em Belo Horizonte após reportagem	nation
42	Não vim aqui falar de Moro, diz Lula durante caravana	nation
43	Simulador mostra prejuízos e ganhos se carros fossem trocados por ônibus	nation
44	Justiça do PR nega pedido de anular delação que cita governador Richa	nation
45	Era uma vez: paulistanos que resistem ao tempo	nation
46	Prefeitura planeja construir garagens perto das linhas do metrô em SP	nation
47	Senado deve criar CPI para investigar queda de barragem da Samarco em MG	nation
48	Scolese: Reprovado na gestão hídrica, tucano terá de mudar no rodízio	nation
49	SUS deve cobrar reembolso de R$ 1,4 bilhão de planos de saúde	nation
50	Em viagem a Dubai, Doria procura investidores até para o Estado de SP	nation
